date,discharge_m3s,Station_ID
1978-11-07,13.0,2548310
1978-11-08,13.0,2548310
1978-11-09,13.0,2548310
1978-11-10,12.0,2548310
1978-11-11,12.0,2548310
1978-11-12,12.0,2548310
1978-11-13,12.0,2548310
1978-11-14,12.0,2548310
1978-11-15,12.0,2548310
1978-11-16,11.0,2548310
1978-11-17,11.0,2548310
1978-11-18,10.0,2548310
1978-11-19,10.0,2548310
1978-11-20,10.0,2548310
1978-11-21,10.0,2548310
1978-11-22,10.0,2548310
1978-11-23,10.0,2548310
1978-11-24,9.0,2548310
1978-11-25,9.0,2548310
1978-11-26,9.0,2548310
1978-11-27,9.0,2548310
1978-11-28,9.0,2548310
1978-11-29,9.0,2548310
1978-11-30,8.0,2548310
1978-12-01,8.0,2548310
1978-12-02,8.0,2548310
1978-12-03,8.0,2548310
1978-12-04,8.0,2548310
1978-12-05,7.0,2548310
1978-12-06,7.0,2548310
1978-12-07,7.0,2548310
1978-12-08,7.0,2548310
1978-12-09,7.0,2548310
1978-12-10,7.0,2548310
1978-12-11,7.0,2548310
1978-12-12,7.0,2548310
1978-12-13,7.0,2548310
1978-12-14,6.0,2548310
1978-12-15,6.0,2548310
1978-12-16,6.0,2548310
1978-12-17,6.0,2548310
1978-12-18,6.0,2548310
1978-12-19,6.0,2548310
1978-12-20,6.0,2548310
1978-12-21,5.0,2548310
1978-12-22,5.0,2548310
1978-12-23,5.0,2548310
1978-12-24,5.0,2548310
1978-12-25,5.0,2548310
1978-12-26,5.0,2548310
1978-12-27,5.0,2548310
1978-12-28,5.0,2548310
1978-12-29,5.0,2548310
1978-12-30,5.0,2548310
1978-12-31,5.0,2548310
1979-01-01,5.0,2548310
1979-01-02,5.0,2548310
1979-01-03,5.0,2548310
1979-01-04,5.0,2548310
1979-01-05,4.0,2548310
1979-01-06,4.0,2548310
1979-01-07,4.0,2548310
1979-01-08,4.0,2548310
1979-01-09,4.0,2548310
1979-01-10,4.0,2548310
1979-01-11,4.0,2548310
1979-01-12,4.0,2548310
1979-01-13,4.0,2548310
1979-01-14,4.0,2548310
1979-01-15,4.0,2548310
1979-01-16,4.0,2548310
1979-01-17,4.0,2548310
1979-01-18,4.0,2548310
1979-01-19,4.0,2548310
1979-01-20,4.0,2548310
1979-01-21,4.0,2548310
1979-01-22,4.0,2548310
1979-01-23,4.0,2548310
1979-01-24,4.0,2548310
1979-01-25,4.0,2548310
1979-01-26,4.0,2548310
1979-01-27,4.0,2548310
1979-01-28,4.0,2548310
1979-01-29,5.0,2548310
1979-01-30,5.0,2548310
1979-01-31,4.0,2548310
1979-02-01,4.0,2548310
1979-02-02,4.0,2548310
1979-02-03,4.0,2548310
1979-02-04,4.0,2548310
1979-02-05,4.0,2548310
1979-02-06,4.0,2548310
1979-02-07,4.0,2548310
1979-02-08,9.0,2548310
1979-02-09,5.0,2548310
1979-02-10,5.0,2548310
1979-02-11,4.0,2548310
1979-02-12,4.0,2548310
1979-02-13,4.0,2548310
1979-02-14,4.0,2548310
1979-02-15,4.0,2548310
1979-02-16,4.0,2548310
1979-02-17,4.0,2548310
1979-02-18,4.0,2548310
1979-02-19,4.0,2548310
1979-02-20,7.0,2548310
1979-02-21,5.0,2548310
1979-02-22,4.0,2548310
1979-02-23,4.0,2548310
1979-02-24,4.0,2548310
1979-02-25,4.0,2548310
1979-02-26,4.0,2548310
1979-02-27,4.0,2548310
1979-02-28,4.0,2548310
1979-03-01,3.0,2548310
1979-03-02,3.0,2548310
1979-03-03,3.0,2548310
1979-03-04,3.0,2548310
