grdc_no,date,original,wmo_reg,sub_reg,river,station,country,lat,long,area,altitude,d_start,d_end,d_yrs,d_miss,m_start,m_end,m_yrs,m_miss,t_start,t_end,t_yrs,lta_discharge,r_volume_yr,r_height_yr
2550500,1968-04-01,105.0,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1968-05-01,218.0,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1968-06-01,520.0,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1968-07-01,1020.0,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1968-08-01,935.0,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1968-09-01,640.0,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1968-10-01,826.0,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1968-11-01,278.0,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1968-12-01,146.0,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1969-01-01,103.0,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1969-02-01,91.4,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1969-03-01,91.7,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1969-04-01,107.0,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1969-05-01,267.0,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1969-06-01,700.0,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1969-07-01,868.0,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1969-08-01,754.0,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1969-09-01,706.0,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1969-10-01,268.0,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1969-11-01,140.0,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1969-12-01,82.6,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1970-01-01,65.8,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
2550500,1970-02-01,63.7,2,2501,TAMOR NADI,MULGHAT,NP,26.93,87.33,5640.0,276.0,,,,,1965.0,1986.0,22.0,0.0,1965,1986,22,336.199,10.602371664,1879.853131914894
