District,Local Level Name,Total family number,Total household number,Total population,Total Male,Total Female,Persons per Family,Persons per Household
Kailali,Lamkichuha Municipality,20801,19367,90941,42795,48146,4.371953271477333,4.695667888676615
Kailali,Mohanyal Rural Municipality,4450,4226,21285,10375,10910,4.78314606741573,5.036677709417889
Kailali,Tikapur Municipality,20953,19091,90115,43354,46761,4.300816112251229,4.720287046252161
Kanchanpur,Bedkot Municipality,12780,11904,58250,27055,31195,4.557902973395931,4.893313172043011
Kanchanpur,Beldandi Rural Municipality,4727,4471,22041,9939,12102,4.662788237782949,4.929769626481772
Kanchanpur,Belauri Municipality,11154,10296,53918,25526,28392,4.833960910883988,5.236790986790987
Kanchanpur,Bhimdatta Municipality,27691,24715,123316,59400,63916,4.45328807193673,4.98952053408861
Kanchanpur,Krishnapur Municipality,15272,14217,72501,34347,38154,4.747315348349922,5.099599071534079
Kanchanpur,Laljhadi Rural Municipality,4822,4666,25271,12282,12989,5.240771464122771,5.41598799828547
Kanchanpur,Dodhara Chandani Municipality,9657,8891,43486,19254,24232,4.503054778916848,4.891013384321224
