District,Local Level Name,Total family number,Total household number,Total population,Total Male,Total Female,Persons per Family,Persons per Household
Taplejung,Aathrai Tribeni Rural Municipality,2869,2735,12288,6005,6283,4.283025444405716,4.492870201096892
Taplejung,Maiwakhola Rural Municipality,2275,2178,10365,5264,5101,4.556043956043956,4.758953168044077
Taplejung,Meringden Rural Municipality,2683,2528,12040,6181,5859,4.487513976891539,4.762658227848101
Taplejung,Mikwakhola Rural Municipality,1862,1792,7991,4000,3991,4.291621911922664,4.459263392857143
Taplejung,Phaktanglung Rural Municipality,2864,2700,11925,6239,5686,4.163756983240224,4.416666666666667
Taplejung,Phungling Municipality,7306,5888,28786,14160,14626,3.9400492745688473,4.888926630434782
Taplejung,Sidingba Rural Municipality,2604,2484,10981,5593,5388,4.216973886328725,4.420692431561997
Taplejung,Sirijangha Rural Municipality,3329,3197,14186,7227,6959,4.261339741664163,4.43728495464498
Taplejung,Pathivara Yangwarak Rural Municipality,2738,2637,11797,5855,5942,4.308619430241052,4.473644292756921
Panchthar,Falelung Rural Municipality,4940,4773,20531,10211,10320,4.156072874493927,4.301487534045673
Panchthar,Falgunanda Rural Municipality,5293,4968,21253,10417,10836,4.015303230682033,4.277979066022544
Panchthar,Hilihang Rural Municipality,4878,4647,20537,10160,10377,4.210127101271013,4.419410372283194
Panchthar,Kummayak Rural Municipality,3199,3012,13020,6532,6488,4.070021881838074,4.322709163346613
Panchthar,Miklajung Rural Municipality,5509,5163,21328,10535,10793,3.8714830277727357,4.130931628897928
Panchthar,Phidim Municipality,12433,10442,48713,23963,24750,3.9180406981420415,4.6651024707910365
Panchthar,Tumbewa Rural Municipality,2752,2636,11063,5644,5419,4.019985465116279,4.196889226100152
Panchthar,Yangwarak Rural Municipality,3964,3765,16828,8509,8319,4.245206861755802,4.4695883134130145
Ilam,Chulachuli Rural Municipality,5624,5533,22856,11215,11641,4.064011379800854,4.130851256099765
Ilam,Deumai Municipality,7907,7535,31531,15807,15724,3.9877323890223852,4.184605175846052
Ilam,Fakphokthum Rural Municipality,4923,4748,20004,9800,10204,4.063375990249848,4.213142375737153
Ilam,Illam Municipality,13395,11943,50455,24781,25674,3.766703994027622,4.224650422841832
Ilam,Maijogmai Rural Municipality,4957,4881,19295,9686,9609,3.8924752874722612,3.953083384552346
Ilam,Mai Municipality,7966,7844,30988,15126,15862,3.890032638714537,3.950535441101479
Ilam,Mangsebung Rural Municipality,3891,3793,16897,8602,8295,4.342585453610897,4.454785130503559
Ilam,Rong Rural Municipality,4715,4650,17555,8739,8816,3.7232237539766704,3.775268817204301
Ilam,Sandakpur Rural Municipality,4031,3937,15460,7840,7620,3.835276606301166,3.9268478536957074
Ilam,Suryodaya Municipality,14149,13463,55457,27922,27535,3.919499611279949,4.119215628017529
Jhapa,Arjundhara Municipality,20978,18995,84429,40591,43838,4.0246448660501475,4.444801263490392
Jhapa,Barhadashi Rural Municipality,9053,8665,37916,17952,19964,4.188224897823925,4.375764570109636
Jhapa,Bhadrapur Municipality,17385,16032,70823,33988,36835,4.073799252228933,4.417602295409182
Jhapa,Birtamod Municipality,29861,23039,117355,57136,60219,3.9300425303908106,5.093754069187031
Jhapa,Buddhashanti Rural Municipality,13276,12518,52911,25276,27635,3.9854624887014163,4.226793417478831
Jhapa,Damak Municipality,27725,22000,107410,51118,56292,3.874120829576195,4.882272727272727
Jhapa,Gauradhaha Municipality,14845,14137,60598,28782,31816,4.0820478275513645,4.286482280540426
Jhapa,Gauriganj Rural Municipality,8712,8069,36058,17089,18969,4.138888888888889,4.46870739868633
Jhapa,Haldibari Rural Municipality,7894,7621,33054,15831,17223,4.187230808208766,4.33722608581551
Jhapa,Jhapa Rural Municipality,8554,8003,39372,19131,20241,4.602758943184475,4.919655129326503
Jhapa,Kachankawal Rural Municipality,10200,9260,42386,20024,22362,4.155490196078431,4.5773218142548595
Jhapa,Kamal Rural Municipality,13356,12335,53710,25739,27971,4.021413596885295,4.354276449128496
Jhapa,Kankai Municipality,13553,12419,53088,25557,27531,3.9170663321773778,4.274740317255818
Jhapa,Mechinagar Municipality,32710,29865,131520,64410,67110,4.020788749617854,4.4038171772978405
Jhapa,Shivasataxi Municipality,18036,17031,73460,34872,38588,4.072965180749612,4.313311021079208
Morang,Belbari Municipality,20662,18945,81837,38460,43377,3.9607492014325816,4.319714964370546
Morang,Biratnagar Metropolitian City,57383,45204,244750,122769,121981,4.265200494920098,5.414343863374922
Morang,Budhiganga Rural Municipality,12455,10768,51640,25472,26168,4.146126053793657,4.7956909361069835
Morang,Dhanpalthan Rural Municipality,9935,8528,45204,22136,23068,4.5499748364368395,5.300656660412758
Morang,Gramthan Rural Municipality,9483,8660,36500,17889,18611,3.848992934725298,4.214780600461894
Morang,Jahada Rural Municipality,9868,8489,47836,24262,23574,4.847588163761654,5.635057132760043
Morang,Kanepokhari Rural Municipality,10760,10271,43177,20441,22736,4.012732342007435,4.20377762632655
Morang,Katahari Rural Municipality,10522,9370,48633,24414,24219,4.622030032313249,5.190288153681964
Morang,Kerabari Rural Municipality,8809,8184,34725,16768,17957,3.941991145419457,4.243035190615836
Morang,Letang Municipality,9304,8758,38675,18473,20202,4.156814273430783,4.415962548527061
Morang,Miklajung Rural Municipality,8390,7969,33315,16074,17241,3.970798569725864,4.180574727067386
Morang,Patahrishanishchare Municipality,18191,16621,72689,34263,38426,3.995877082073553,4.37332290475904
Morang,Rangeli Municipality,13339,11903,57814,28238,29576,4.334207961616313,4.8570948500378055
Morang,Ratuwamai Municipality,14624,13768,61355,29091,32264,4.195500547045952,4.456348053457292
Morang,Sundarharaicha Municipality,30219,26677,121305,57858,63447,4.014196366524372,4.547175469505566
Morang,Sunwarshi Municipality,12889,11401,56169,27092,29077,4.357902087050974,4.926673098850978
Morang,Uralabari Municipality,17818,15899,71562,33827,37735,4.016275676282411,4.501037801119567
Sunsari,Barahchhetra Municipality,21961,20781,91891,43178,48713,4.184281225809389,4.421875751888744
Sunsari,Barju Rural Municipality,8034,6867,36533,18571,17962,4.547298979337814,5.320081549439347
Sunsari,Bhokraha Narsing Rural Municipality,9299,8155,49371,24501,24870,5.30928056780299,6.0540772532188845
Sunsari,Dewanganj Rural Municipality,7814,6526,39367,19710,19657,5.038008702329153,6.032332209623046
Sunsari,Dharan Sub-Metropolitian City,43815,34834,173096,82683,90413,3.950610521510898,4.96916805419992
Sunsari,Duhabi Municipality,15415,12410,67051,33448,33603,4.349724294518326,5.402981466559226
Sunsari,Gadhi Rural Municipality,8751,7664,39478,19426,20052,4.511255856473546,5.151096033402923
Sunsari,Harinagar Rural Municipality,8765,7630,49501,24459,25042,5.647575584711922,6.487680209698558
Sunsari,Inaruwa Municipality,16931,15044,75920,37273,38647,4.48408245230642,5.046530178144111
Sunsari,Itahari Sub-Metropolitian City,50743,40207,198098,94308,103790,3.9039473424905897,4.926953018131171
Sunsari,Koshi Rural Municipality,9377,7634,48768,24550,24218,5.200810493761331,6.388263033796175
Sunsari,Ramdhuni Municipality,15969,14025,63378,29980,33398,3.9688145782453503,4.518930481283422
Dhankuta,Chaubise Rural Municipality,4493,4233,17914,8764,9150,3.987091030491876,4.231986770611859
Dhankuta,Chhathar Jorpati Rural Municipality,4143,3932,16477,7976,8501,3.977069756215303,4.190488301119023
Dhankuta,Dhankuta Municipality,9803,8087,36156,17387,18769,3.6882586963174537,4.4708791888215655
Dhankuta,Shahidbhumi Rural Municipality,4109,4079,17784,8807,8977,4.328060355317596,4.359892130424123
Dhankuta,Mahalaxmi Municipality,5434,5251,22196,10862,11334,4.084652189915348,4.227004380118073
Dhankuta,Pakhribas Municipality,4881,4644,19256,9247,10009,3.945093218602745,4.146425495262704
Dhankuta,Sangurigadhi Rural Municipality,5025,4860,19601,9626,9975,3.900696517412935,4.033127572016461
Terhathum,Aathrai Rural Municipality,4427,4223,18210,8996,9214,4.113395075672012,4.312100402557424
Terhathum,Chhathar Rural Municipality,3509,3390,14245,6960,7285,4.059561128526646,4.202064896755163
Terhathum,Laligurans Municipality,3773,3439,15418,7482,7936,4.086403392525842,4.4832800232625765
Terhathum,Menchayam Rural Municipality,1708,1620,6698,3272,3426,3.921545667447307,4.1345679012345675
Terhathum,Myanglung Municipality,4934,4163,19078,9347,9731,3.866639643291447,4.582752822483786
Terhathum,Phedap Rural Municipality,3671,3517,15236,7506,7730,4.150367747207845,4.332101222632926
Sankhuwasabha,Bhotkhola Rural Municipality,1717,1677,6509,3256,3253,3.790914385556203,3.881335718545021
Sankhuwasabha,Chainpur Municipality,6690,6201,27078,13210,13868,4.047533632286996,4.366715045960329
Sankhuwasabha,Chichila Rural Municipality,1672,1583,6720,3351,3369,4.019138755980861,4.245104232469994
Sankhuwasabha,Dharmadevi Municipality,4071,3906,16300,7890,8410,4.003930238270695,4.173067076292883
Sankhuwasabha,Khandbari Municipality,9333,8151,36102,17967,18135,3.8682095789135325,4.42914979757085
Sankhuwasabha,Madi Municipality,3288,3169,13428,6584,6844,4.083941605839416,4.237298832439255
Sankhuwasabha,Makalu Rural Municipality,3485,3309,13492,6920,6572,3.871449067431851,4.077364762768208
Sankhuwasabha,Panchakhapan Municipality,4010,3897,16391,8060,8331,4.087531172069825,4.206055940467026
Sankhuwasabha,Sabhapokhari Rural Municipality,2533,2362,10005,5012,4993,3.9498618239242007,4.235817104149026
Sankhuwasabha,Silichong Rural Municipality,2501,2427,10432,5223,5209,4.171131547381048,4.298310671611042
Bhojpur,Aamchowk Rural Municipality,3566,3472,15237,7517,7720,4.27285473920359,4.388536866359447
Bhojpur,Arun Rural Municipality,3582,3487,14853,7247,7606,4.146566164154104,4.259535417264124
Bhojpur,Bhojpur Municipality,6775,6078,26126,12676,13450,3.8562361623616237,4.298453438631129
Bhojpur,Hatuwagadhi Rural Municipality,4040,3987,16302,8030,8272,4.035148514851485,4.088788562829195
Bhojpur,Pauwadungma Rural Municipality,2933,2866,12170,5851,6319,4.149335151721787,4.246336357292393
Bhojpur,Ramprasad Rai Rural Municipality,3700,3627,15632,7741,7891,4.224864864864865,4.309897987317342
Bhojpur,Salpasilichho Rural Municipality,3019,2972,12229,6008,6221,4.050679032792315,4.114737550471063
Bhojpur,Shadananda Municipality,7450,7139,29777,14681,15096,3.9969127516778524,4.1710323574730355
Bhojpur,Temkemaiyung Rural Municipality,3855,3773,15491,7611,7880,4.0184176394293125,4.105751391465677
Solukhumbu,Thulung Dudhkoshi Rural Municipality,4672,4568,18459,9225,9234,3.950984589041096,4.040936952714536
Solukhumbu,Maapya Dudhkoshi Rural Municipality,3142,3102,12746,6422,6324,4.0566518141311265,4.108961960025789
Solukhumbu,Khumbupasanglahmu Rural Municipality,2611,2341,9226,4737,4489,3.5335120643431637,3.94105083297736
Solukhumbu,Likhupike Rural Municipality,1255,1255,5264,2588,2676,4.1944223107569725,4.1944223107569725
Solukhumbu,Mahakulung Rural Municipality,2909,2885,11971,5921,6050,4.115159848745273,4.149393414211438
Solukhumbu,Nechasalyan Rural Municipality,2662,2631,10828,5325,5503,4.067618332081142,4.115545419992398
Solukhumbu,Solududhakunda Municipality,6830,6335,27013,13700,13313,3.9550512445095167,4.264088397790055
Solukhumbu,Sotang Rural Municipality,2321,2271,9261,4711,4550,3.990090478242137,4.077939233817702
Okhaldhunga,Champadevi Rural Municipality,4040,3977,16528,8146,8382,4.091089108910891,4.155896404324868
Okhaldhunga,Chisankhugadhi Rural Municipality,3346,3321,13761,6711,7050,4.1126718469814705,4.143631436314363
Okhaldhunga,Khijidemba Rural Municipality,3496,3461,15867,7926,7941,4.538615560640732,4.584513146489454
Okhaldhunga,Likhu Rural Municipality,3189,3125,11930,5912,6018,3.7409846346817184,3.8176
Okhaldhunga,Manebhanjyang Rural Municipality,4855,4795,19883,9626,10257,4.095365602471679,4.146611053180396
Okhaldhunga,Molung Rural Municipality,4173,4116,16944,8464,8480,4.06038820992092,4.11661807580175
Okhaldhunga,Siddhicharan Municipality,7173,6957,27977,13554,14423,3.900320646870208,4.0214172775621675
Okhaldhunga,Sunkoshi Rural Municipality,4417,4359,18024,8983,9041,4.080597690740322,4.134893324156916
Khotang,Ainselukhark Rural Municipality,3506,3421,13581,6713,6868,3.8736451796919567,3.9698918444899154
Khotang,Barahapokhari Rural Municipality,2591,2540,11461,5713,5748,4.423388653029718,4.5122047244094485
Khotang,Diprung Chuichumma Rural Municipality,3848,3780,16549,8139,8410,4.300675675675675,4.378042328042328
Khotang,Halesi Tuwachung Municipality,6149,5948,27274,13434,13840,4.435517970401691,4.585406859448554
Khotang,Jantedhunga Rural Municipality,2765,2713,12066,5934,6132,4.363833634719711,4.4474751197935865
Khotang,Kepilasagadhi Rural Municipality,3346,3237,13339,6583,6756,3.9865511057979677,4.120790855730615
Khotang,Khotehang Rural Municipality,4149,4056,16952,8417,8535,4.085803808146541,4.17948717948718
Khotang,Rawa Besi Rural Municipality,2724,2646,11218,5424,5794,4.118208516886931,4.239606953892668
Khotang,Diktel Rupakot Majhuwagadhi Municipality,10719,9775,43295,21345,21950,4.0390894673010544,4.429156010230179
Khotang,Sakela Rural Municipality,2307,2276,9605,4819,4786,4.1634156913740785,4.2201230228471
Udayapur,Belaka Municipality,12170,11633,51458,24631,26827,4.2282662284305665,4.423450528668443
Udayapur,Chaudandigadhi Municipality,12857,12162,53537,25389,28148,4.164035155946177,4.401989804308502
Udayapur,Katari Municipality,14296,12843,60168,29250,30918,4.208729714605484,4.684886708712917
Udayapur,Rautamai Rural Municipality,4586,4434,20418,10017,10401,4.452245965983428,4.604871447902571
Udayapur,Limchungbung Rural Municipality,2257,2229,9789,4837,4952,4.337173238812583,4.391655450874832
Udayapur,Tapli Rural Municipality,2884,2843,13377,6648,6729,4.638349514563107,4.705240942666197
Udayapur,Triyuga Municipality,25928,23138,104375,49514,54861,4.025570811477939,4.510977612585357
Udayapur,Udayapurgadhi Rural Municipality,6810,6650,28929,14093,14836,4.248017621145374,4.350225563909774
Saptari,Agnisair Krishna Savaran Rural Municipality,6726,6092,32047,15735,16312,4.764644662503717,5.260505581089954
Saptari,Balan Bihul Rural Municipality,5004,3770,24059,12169,11890,4.8079536370903275,6.381697612732095
Saptari,Rajgadh Rural Municipality,6942,5687,32975,16564,16411,4.7500720253529245,5.798311939511166
Saptari,Bishnupur Rural Municipality,5780,5007,28072,14230,13842,4.856747404844291,5.606550828839625
Saptari,Bode Barsain Municipality,9854,7988,46343,23092,23251,4.70296326364928,5.801577366049074
Saptari,Chhinnamasta Rural Municipality,6373,4747,30664,15416,15248,4.8115487211674255,6.45965873183063
Saptari,Dakneshwori Municipality,10094,7954,48314,24055,24259,4.786407766990291,6.074176514961026
Saptari,Hanumannagar Kankalini Municipality,11130,8680,51926,26330,25596,4.665408805031446,5.982258064516129
Saptari,Kanchanrup Municipality,12662,10277,58882,28949,29933,4.65029221292055,5.729493042716746
Saptari,Khadak Municipality,11355,9432,54193,26139,28054,4.77261118450022,5.745653095843935
Saptari,Mahadeva Rural Municipality,6522,5322,31048,15737,15311,4.760502913216805,5.833897031191282
Saptari,Rajbiraj Municipality,15121,13062,71946,36942,35004,4.758018649560214,5.508038585209003
Saptari,Rupani Rural Municipality,6963,5801,30064,14806,15258,4.317679161281057,5.182554731942768
Saptari,Saptakoshi Rural Municipality,5305,4624,23891,11632,12259,4.503487276154571,5.16673875432526
Saptari,Shambhunath Municipality,8824,7388,39423,18943,20480,4.467701722574796,5.336085544125609
Saptari,Surunga Municipality,10611,8979,49668,23899,25769,4.680802940344925,5.531573671901103
Saptari,Tilathi Koiladi Rural Municipality,6874,5366,34257,17459,16798,4.98356124527204,6.384084979500559
Saptari,Tirahut Rural Municipality,5151,4148,23987,12086,11901,4.656765676567657,5.782786885245901
Siraha,Arnama Rural Municipality,5208,4231,28137,13741,14396,5.402649769585254,6.650200898132829
Siraha,Aurahi Rural Municipality,5891,4092,27194,13669,13525,4.616194194534035,6.645650048875855
Siraha,Bariyarpatti Rural Municipality,5965,4475,29859,14876,14983,5.005699916177703,6.672402234636872
Siraha,Bhagawanpur Rural Municipality,4650,3553,23324,11544,11780,5.015913978494623,6.564593301435407
